Makespan,MachineUtilization,TotalTardiness,SetupTime,Reward,Agent,NumJobs,NumMachines,Seed
164.62173803397462,0.33333333730697634,641.4294099817718,3.3463008105754852,-240.15765782858352,Double DQN,10,3,0
170.26021768368935,0.3333333358168602,668.1774257392651,2.583959329128265,-246.71631076607144,SAC,10,3,0
170.10571061251795,0.3333333358168602,666.221656686506,4.041305536031723,-250.68156886398748,Dueling-Attention DQN,10,3,0
133.3246022101649,0.33333333432674406,503.7056461689526,5.491079294681549,-254.6171260326435,Double DQN,10,3,1
134.26693105431147,0.33333333432674406,522.0934158760945,5.524843358993531,-263.96314315494385,SAC,10,3,1
130.02106387356577,0.33333333730697634,490.4647265196888,2.2957299292087554,-243.5831922125554,Dueling-Attention DQN,10,3,1
137.95068216174153,0.33333333730697634,508.9449828146647,3.599432700872421,-220.92534044474286,Double DQN,10,3,2
137.1899260099549,0.3333333387970924,511.7992026478022,3.808930444717407,-219.89252286147615,SAC,10,3,2
137.65993383055522,0.33333333730697634,512.6376089908439,4.680365800857544,-222.5514885025828,Dueling-Attention DQN,10,3,2
176.9117323388952,0.1666666679084301,673.3094849927278,9.134568226337432,-269.0346055775821,Double DQN,10,6,0
182.2961948682525,0.16666666865348817,725.318094899122,7.962501168251038,-298.0836878480441,SAC,10,6,0
172.6769136941185,0.1666666679084301,667.9967826665923,7.131087386608124,-264.7959082288398,Dueling-Attention DQN,10,6,0
130.2421433331998,0.16666666865348817,474.38457450354633,7.40031731724739,-224.45150134707154,Double DQN,10,6,1
127.43855528615484,0.1666666693985462,484.69062329242286,7.0629980087280275,-229.11824829031784,SAC,10,6,1
129.77735007282433,0.16666667088866233,463.5464548195811,9.691416764259339,-212.1339811574584,Dueling-Attention DQN,10,6,1
136.9086081407417,0.16666666567325591,515.2333201081449,8.510932302474975,-227.8150591754032,Double DQN,10,6,2
136.78675195533987,0.1666666693985462,517.9168535043754,7.7079754829406735,-225.23275061621817,SAC,10,6,2
141.74505482226982,0.16666666567325591,531.3140866334802,10.079600524902343,-239.44663638295523,Dueling-Attention DQN,10,6,2
206.89295032590945,0.33333333730697634,919.3981780583354,4.727415597438812,-277.06608593608365,Double DQN,20,3,0
207.20593546482718,0.33333333730697634,905.6084295660446,5.887806105613708,-267.93960375410506,SAC,20,3,0
208.19089233513114,0.33333333432674406,930.1049351555641,4.7453437685966495,-276.2625525596233,Dueling-Attention DQN,20,3,0
205.96169182993594,0.3333333432674408,1186.9926731294242,3.7897310853004456,-560.0447884136228,Double DQN,20,3,1
204.24523315801187,0.33333334177732465,1201.76542713643,1.2982716977596283,-575.1062135437458,SAC,20,3,1
202.63377722317438,0.3333333358168602,1127.8134221761595,3.9386483252048494,-528.1159775770293,Dueling-Attention DQN,20,3,1
205.62499043052702,0.33333333730697634,1274.501764775666,5.1921754598617555,-663.0144154365387,Double DQN,20,3,2
206.32475168028208,0.3333333253860474,1303.7646529703634,3.6930195093154907,-670.8410973073226,SAC,20,3,2
205.72851302417544,0.33333333283662797,1252.0904911896491,4.968561589717865,-654.8431120106162,Dueling-Attention DQN,20,3,2
205.9452293636919,0.16666666492819787,911.3961944150271,7.4815262973308565,-295.43654683897233,Double DQN,20,6,0
205.49662870091532,0.16666666865348817,943.3883849949805,5.907929521799088,-299.31998584546,SAC,20,6,0
206.48262131458645,0.1666666693985462,959.0518538211587,7.925715506076813,-319.4365532973715,Dueling-Attention DQN,20,6,0
205.69750782095625,0.16666666716337203,1191.2552446846926,8.945035696029663,-589.2702614071927,Double DQN,20,6,1
204.88081645524912,0.16666666567325591,1197.6880456672775,6.463859343528748,-600.137947607084,SAC,20,6,1
205.29076458794688,0.1666666693985462,1175.281102597898,8.866751277446747,-574.0665140967878,Dueling-Attention DQN,20,6,1
206.0754780261334,0.1666666716337204,1221.2421718957871,10.425588071346283,-624.564671956945,Double DQN,20,6,2
205.08351005865484,0.16666667088866233,1229.369900065574,6.324797892570496,-618.4190799879635,SAC,20,6,2
205.31292801533158,0.16666667088866233,1227.3045678912235,9.287450647354126,-618.536913476871,Dueling-Attention DQN,20,6,2
205.09916581274098,0.33333333134651183,1089.8633009638102,5.07745623588562,-423.2995470642962,Double DQN,40,3,0
206.26600257313203,0.3333333387970924,1106.6314597537196,2.530085504055023,-421.6998244366811,SAC,40,3,0
205.79173148808042,0.33333333283662797,1124.0951437412043,5.964962804317475,-440.7055333562872,Dueling-Attention DQN,40,3,0
205.28084981465122,0.33333333283662797,1371.3945051814278,5.263846826553345,-610.3912081736665,Double DQN,40,3,1
203.86616118693232,0.33333332985639574,1356.0171302853855,2.276776111125946,-588.7883747644125,SAC,40,3,1
204.93452057291188,0.33333334475755694,1358.8640411181136,4.5077056050300595,-602.5240119880178,Dueling-Attention DQN,40,3,1
205.40069088032016,0.3333333358168602,1181.490141326607,5.295461249351502,-513.4931812301727,Double DQN,40,3,2
204.77885778566818,0.33333334177732465,1281.9089256842176,4.36891193985939,-553.5425223799595,SAC,40,3,2
203.19289147104294,0.33333333730697634,1178.0749799999892,4.496799969673157,-498.9975829165718,Dueling-Attention DQN,40,3,2
204.43017159967332,0.1666666693985462,1058.835707176839,6.9546074092388155,-413.97752637132214,Double DQN,40,6,0
206.16116376557324,0.16666666567325591,1072.4889856786338,10.083444142341614,-418.03136065337037,SAC,40,6,0
205.3526013855757,0.1666666731238365,1059.1615777775176,10.472919631004334,-410.1322065148559,Dueling-Attention DQN,40,6,0
206.1441184187632,0.1666666679084301,1200.0325471587446,14.3856281042099,-518.125365588116,Double DQN,40,6,1
205.52507833192618,0.16666667237877847,1190.1857516969744,9.97704929113388,-499.89926887457295,SAC,40,6,1
205.66104269540506,0.16666667088866233,1160.9727634383712,8.514383590221405,-495.5997299743094,Dueling-Attention DQN,40,6,1
203.72933100143325,0.16666667014360428,1183.1900297105253,7.1981422901153564,-507.2967703494881,Double DQN,40,6,2
204.0981214521909,0.1666666716337204,1207.1566049478026,6.345436322689056,-509.5041573436183,SAC,40,6,2
204.3455721706617,0.16666666865348817,1168.0584454053815,10.022610139846801,-500.09771083201275,Dueling-Attention DQN,40,6,2
